GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-05-22 09:00:00,2.52483,12.32053,5.99011,7.23304,0.1852,5.24861,0.03164,8.59497,0.02833,0.02131,0.00047,0,6.41,16.62,16.93998
2026-05-22 10:00:00,2.52483,11.92588,6.03559,7.24696,0.18741,7.533,0.03229,8.54083,0.02832,0.0213,0.00047,0,6.28,16.62,16.93998
2026-05-22 11:00:00,2.52483,11.50208,6.09639,7.26089,0.18964,9.81109,0.03229,8.48524,0.02831,0.02129,0.00047,0,6.14,16.62,16.93998
2026-05-22 12:00:00,2.52483,11.08408,6.12686,7.27484,0.18741,9.79109,0.03229,8.43046,0.0283,0.02127,0.00047,0,6,16.62,16.93998
2026-05-22 13:00:00,2.52483,10.70119,6.15738,7.2888,0.1852,8.80098,0.03229,8.38184,0.02829,0.02126,0.00047,0,5.87,16.62,16.93998
2026-05-22 14:00:00,2.52483,10.52941,6.12686,7.2888,0.18964,5.70064,0.03229,8.35071,0.02828,0.02125,0.00047,0,5.81,16.62,16.93998
2026-05-22 15:00:00,2.50628,10.81846,6.11162,7.2888,0.18964,1.8202,0.03229,8.34133,0.02827,0.02124,0.00047,0,5.91,16.61,16.93998
2026-05-22 16:00:00,2.52483,11.83458,6.08118,7.26089,0.18741,-0.25303,0.03295,8.35509,0.02827,0.02122,0.00047,0,6.25,16.62,16.93998
2026-05-22 17:00:00,2.5435,13.04418,6.06597,7.24696,0.1919,-0.39404,0.03295,8.38311,0.02826,0.02121,0.00047,0,6.65,16.63,16.93998
2026-05-22 18:00:00,2.52483,14.00044,6.06597,7.24696,0.1919,3.29037,0.03295,8.41468,0.02825,0.0212,0.00047,0,6.96,16.62,16.93998
2026-05-22 19:00:00,2.48786,14.00044,6.11162,7.23304,0.18964,8.19091,0.03363,8.43741,0.02824,0.02119,0.00047,0,6.96,16.6,16.93998
2026-05-22 20:00:00,2.46956,13.47305,6.17265,7.24696,0.1919,10.40116,0.03363,8.44454,0.02823,0.02117,0.00047,0,6.79,16.59,16.93998
2026-05-22 21:00:00,2.45139,12.98331,6.20323,7.24696,0.1919,10.60118,0.03363,8.43973,0.02822,0.02116,0.00047,0,6.63,16.58,16.93998
2026-05-22 22:00:00,2.46956,12.44012,6.23385,7.23304,0.18741,11.50128,0.03363,8.42732,0.02821,0.02115,0.00047,0,6.45,16.59,16.93998
2026-05-22 23:00:00,2.46956,11.89541,6.23385,7.24696,0.18964,11.80131,0.03363,8.41498,0.0282,0.02114,0.00047,0,6.27,16.59,16.93998
2026-05-23 00:00:00,2.46956,11.26251,6.21854,7.24696,0.18302,12.20136,0.03363,8.41377,0.02819,0.02112,0.00047,0,6.06,16.59,16.93998
2026-05-23 01:00:00,2.45139,10.55797,6.19472,7.24696,0.18302,12.20136,0.03363,8.43209,0.02818,0.02111,0.00047,0,5.82,16.58,16.93998
2026-05-23 02:00:00,2.43333,9.96417,6.17265,7.24696,0.18741,12.10135,0.03363,8.46303,0.02817,0.0211,0.00047,0,5.61,16.57,16.93998
2026-05-23 03:00:00,2.45139,9.4104,6.12686,7.24696,0.18741,10.50117,0.03363,8.49648,0.02816,0.02109,0.00047,0,5.41,16.58,16.93998
2026-05-23 04:00:00,2.46956,8.9577,6.08118,7.24696,0.1852,7.53084,0.03363,8.52531,0.02815,0.02107,0.00047,0,5.25,16.59,16.93998
2026-05-23 05:00:00,2.45139,9.07158,6.05077,7.24696,0.1852,4.81054,0.03363,8.54259,0.02814,0.02106,0.00046,0,5.29,16.58,16.93998
2026-05-23 06:00:00,2.45139,9.63052,5.99011,7.24696,0.1808,2.77031,0.03363,8.54668,0.02813,0.02105,0.00046,0,5.49,16.58,16.93998
2026-05-23 07:00:00,2.43333,10.4439,5.99011,7.23304,0.18302,0.96111,0.03363,8.54025,0.02812,0.02104,0.00046,0,5.78,16.57,16.93998
2026-05-23 08:00:00,2.45139,11.47203,5.97497,7.23304,0.1808,0.79309,0.03363,8.52327,0.02811,0.02102,0.00046,0,6.13,16.58,16.93998
2026-05-23 09:00:00,2.45139,12.32053,5.99011,7.24696,0.1808,1.98022,0.03363,8.49484,0.0281,0.02101,0.00046,0,6.41,16.58,16.93998
2026-05-23 10:00:00,2.45139,12.8316,6.02042,7.24696,0.18302,5.97066,0.03295,8.4605,0.02809,0.021,0.00046,0,6.58,16.58,16.93998
2026-05-23 11:00:00,2.45139,12.59018,6.09639,7.26089,0.1808,7.59085,0.03295,8.4206,0.02809,0.02099,0.00046,0,6.5,16.58,16.93998
2026-05-23 12:00:00,2.45139,12.35039,6.15738,7.27484,0.1808,9.25103,0.03295,8.38147,0.02808,0.02098,0.00046,0,6.42,16.58,16.93998
2026-05-23 13:00:00,2.45139,11.86498,6.20323,7.2888,0.1852,9.93111,0.03295,8.35149,0.02807,0.02097,0.00046,0,6.26,16.58,16.93998
2026-05-23 14:00:00,2.45139,11.44201,6.23385,7.2888,0.18302,10.10113,0.03295,8.33173,0.02806,0.02095,0.00046,0,6.12,16.58,16.93998
2026-05-23 15:00:00,2.46956,11.02485,6.24919,7.2888,0.1808,9.04101,0.03229,8.32654,0.02805,0.02094,0.00046,0,5.98,16.59,16.95002
2026-05-23 16:00:00,2.46956,10.81846,6.23385,7.2888,0.1852,6.60074,0.03229,8.34233,0.02804,0.02092,0.00046,0,5.91,16.59,16.93998
2026-05-23 17:00:00,2.46956,11.02485,6.21854,7.2888,0.1852,4.19047,0.03229,8.37898,0.02803,0.02091,0.00046,0,5.98,16.59,16.93998
2026-05-23 18:00:00,2.46956,11.683,6.20323,7.2888,0.1852,2.78031,0.03229,8.42536,0.02802,0.0209,0.00046,0,6.2,16.59,16.95002
2026-05-23 19:00:00,2.45139,12.44012,6.17265,7.26089,0.1852,3.25036,0.03229,8.47172,0.02801,0.02088,0.00046,0,6.45,16.58,16.93998
2026-05-23 20:00:00,2.43333,12.80133,6.15738,7.26089,0.1852,5.87065,0.03164,8.5119,0.028,0.02087,0.00046,0,6.57,16.57,16.93998
2026-05-23 21:00:00,2.45139,12.8316,6.17265,7.24696,0.1852,9.02101,0.03164,8.5395,0.02799,0.02086,0.00046,0,6.58,16.58,16.93998
2026-05-23 22:00:00,2.43333,12.44012,6.20323,7.23304,0.1852,10.30115,0.03164,8.55221,0.02798,0.02085,0.00046,0,6.45,16.57,16.93998
