"source","date","catch","mark_code","fork_length","latitude","longitude","region","stratum","life_stage"
"EDSM",2026-02-06,1,"None",71,38.14575,-121.91013,"West","Suisun Marsh","Adult"
"EDSM",2026-02-10,1,"None",52,38.17926,-122.00138,"West","Suisun Marsh","Juvenile"
"EDSM",2026-02-10,1,"None",53,38.17926,-122.00138,"West","Suisun Marsh","Juvenile"
"EDSM",2026-02-10,1,"None",55,38.17926,-122.00138,"West","Suisun Marsh","Juvenile"
"EDSM",2026-02-10,1,"None",56,38.17926,-122.00138,"West","Suisun Marsh","Juvenile"
"EDSM",2026-02-25,1,"None",54,38.17051,-122.03185,"West","Suisun Marsh","Juvenile"
"EDSM",2026-02-25,1,"None",65,38.17041,-122.03171,"West","Suisun Marsh","Adult"
"EDSM",2026-02-25,1,"None",62,38.17815,-122.00618,"West","Suisun Marsh","Adult"
"EDSM",2026-02-25,1,"None",72,38.17815,-122.00618,"West","Suisun Marsh","Adult"
"EDSM",2026-03-02,1,"None",68,38.15643,-122.05185,"West","Suisun Marsh","Adult"
"salvage",2026-03-06,1,NA,65,37.815176,-121.560709,"South",NA,"Adult"
"EDSM",2026-03-09,1,"None",80,38.15238,-122.05389,"West","Suisun Marsh","Adult"
"EDSM",2026-03-18,1,"None",71,38.18302,-122.05545,"West","Suisun Marsh","Adult"
"EDSM",2026-03-24,1,"None",70,38.16803,-121.93441,"West","Suisun Marsh","Adult"
