Date,SJR_a_Vernalis,E_side_streams,SR_at_Freeport_SRWTP,Stockton_rain_in,Delta_GCD_cfs,JPF_cfs,Banks_PP_cfs,CCF_cfs,Tracy_cfs
2025-11-04,1593,386,11288,0,1700,NA,969,993,4163
2025-11-05,1374,401,10814,0,1700,NA,882,992,4192
2025-11-06,1219,397,12357,0,1700,NA,1194,1000,3905
2025-11-07,1133,404,12032,0,1700,NA,1267,995,4200
2025-11-08,1117,398,11940,0,1650,NA,1482,1491,4220
2025-11-09,1104,396,11384,0,1650,NA,1804,1490,4211
2025-11-10,1057,393,10426,0,1650,NA,1813,1490,4161
2025-11-11,1005,391,9771,0,1650,NA,1946,1494,4214
2025-11-12,1001,386,9500,0,1650,NA,734,997,4219
2025-11-13,1048,480,10073,0.96,1650,NA,0,997,4205
2025-11-14,1171,600,12298,0.04,1650,NA,2467,2995,4210
2025-11-15,1223,639,12810,0.56,1700,NA,4382,3997,4041
2025-11-16,1340,664,14234,0.84,1700,NA,4082,3991,4143
2025-11-17,1605,1037,15184,0.52,1700,NA,3580,3994,3521
2025-11-18,1954,758,16126,0,1700,NA,5093,5489,3546
2025-11-19,2415,552,17939,0,1700,NA,5613,5478,3569
2025-11-20,2275,520,20398,0.28,1750,NA,5576,5484,3567
2025-11-21,1983,484,19328,0,1750,NA,6939,6670,3569
2025-11-22,1830,448,16837,0,1750,NA,6811,6676,3555
2025-11-23,1684,432,16020,0,1750,NA,5562,5992,3549
2025-11-24,1617,419,15213,0,1750,NA,6501,6671,3423
2025-11-25,1538,408,14234,0,1800,NA,7066,6678,1864
2025-11-26,1355,402,13412,0,1800,NA,7066,6671,1861
2025-11-27,1451,397,12604,0,1850,NA,5835,5992,1862
2025-11-28,1407,396,12555,0,1900,NA,5590,5498,1864
2025-11-29,1353,394,12324,0,1900,NA,4586,4999,1868
2025-11-30,1320,391,11921,0,1950,NA,4796,4488,1873
2025-12-01,1247,383,11729,0,2000,NA,4547,4500,1874
2025-12-02,1170,390,11423,0,2000,NA,4046,4291,1782
2025-12-03,1242,407,11174,0,2000,NA,4051,3992,1779
2025-12-04,1231,387,11288,0,2050,NA,2577,2992,923
2025-12-05,1210,360,10730,0,2100,NA,2577,1998,911
2025-12-06,1190,363,10820,0,2100,NA,1711,1998,930
2025-12-07,1170,361,10546,0,2150,NA,1927,1987,973
2025-12-08,1165,365,10734,0,2150,NA,1947,1997,972
2025-12-09,1228,366,10674,0,2150,NA,1947,1971,972
2025-12-10,1250,376,10603,0,2200,NA,1937,1997,954
2025-12-11,1235,364,10405,0,2200,NA,2628,1981,965
2025-12-12,1161,367,10145,0,2200,NA,1499,1992,965
2025-12-13,1133,395,9934,0,2200,NA,1934,1994,967
2025-12-14,1125,401,10057,0,2200,-719,2634,1998,969
2025-12-15,1121,371,10414,0,2200,-656,1420,1996,922
2025-12-16,1096,350,10702,0,2200,-292,1691,1599,969
2025-12-17,1071,363,11016,0,2200,-288,1884,1587,970
2025-12-18,1092,376,11889,0,2150,-672,1755,1999,972
2025-12-19,1747,462,13446,0,2150,-1492,3472,2990,983
2025-12-20,3558,527,18248,0,2150,-4716,5060,5485,2659
2025-12-21,4848,599,21187,0,2100,-4071,6499,6490,3525
2025-12-22,5822,993,33367,0.2,2100,-1293,5562,5491,3531
2025-12-23,6068,1475,48118,0,2050,-182,6872,7494,4146
2025-12-24,5780,2495,52369,0.84,2050,6418,3677,3693,4070
2025-12-25,5256,4684,57327,1.24,2000,12621,2406,1891,4082
2025-12-26,4453,3498,65475,0,2000,17910,4251,4094,3545
2025-12-27,4074,2823,69829,0,1950,17445,3485,3681,3517
2025-12-28,3487,2211,69795,0,1950,16344,3464,3589,3527
2025-12-29,2587,1910,68763,0,1900,16740,2043,1992,3525
2025-12-30,2152,1744,65011,0,1850,12499,1967,1799,3536
2025-12-31,1934,1899,61410,0.4,1800,6924,1734,1694,3551
2026-01-01,1874,2449,57038,0.56,1700,7879,1515,1691,3573
2026-01-02,1928,3459,53989,0,1650,9965,1697,1691,3537
2026-01-03,2495,4733,56053,0.28,1600,11570,1919,1597,2717
2026-01-04,2583,8060,67199,1.28,1550,12782,3477,3597,2691
2026-01-05,3387,6929,75312,0.44,1500,22449,2834,2798,3500
2026-01-06,5083,4884,75855,0,1450,22868,3456,3299,3514
2026-01-07,4454,4163,76046,0,1400,19766,3033,3395,4199
2026-01-08,3516,4098,73318,0,1400,18657,3092,3194,4217
2026-01-09,3223,3811,73494,0,1350,16693,2972,2793,4176
2026-01-10,3132,3568,71507,0,1300,11626,2606,2595,4170
2026-01-11,3066,3435,69431,0,1300,9516,2606,2499,4179
2026-01-12,2945,3274,66135,0,1250,9041,2606,2492,4187
2026-01-13,2835,3089,62966,0,1250,9547,1928,1988,3496
2026-01-14,2732,3004,58613,0,1200,8823,1748,1992,3500
2026-01-15,2649,2962,53935,0,1200,8082,1918,1999,3499
2026-01-16,2610,2740,50237,0,1150,7434,1934,1897,3503
2026-01-17,2556,2484,46408,0,1150,6726,1953,1890,3498
2026-01-18,2514,2432,43342,0,1100,5906,1947,1895,3493
2026-01-19,2487,2406,40935,0,1100,5432,1947,1899,3494
2026-01-20,2470,2344,38078,0,1100,4179,2633,2791,3481
2026-01-21,2459,2193,36508,0,1050,3616,2619,2895,3481
2026-01-22,2485,1925,35520,0,1050,3271,3293,2898,3485
2026-01-23,2564,1671,33922,0.04,1000,2899,2577,2897,3485
2026-01-24,2389,1475,32528,0,1000,2603,3282,2991,3481
2026-01-25,2248,1277,30876,0,1000,2148,3263,2896,3474
2026-01-26,2144,1065,29300,0,1000,1690,2607,2798,3471
2026-01-27,2065,886,27176,0,950,1154,2607,2798,3481
